ID,Student_ID,Subject_Name,Year,Term,Score,Grade
PERF001,STD001,English Studies,SS1,First Term,91,A1
PERF002,STD001,English Studies,SS1,Second Term,15,F9
PERF003,STD001,English Studies,SS1,Third Term,44,E8
PERF004,STD001,English Studies,SS2,First Term,74,B2
PERF005,STD001,English Studies,SS2,Second Term,91,A1
PERF006,STD001,English Studies,SS2,Third Term,70,B2
PERF007,STD001,English Studies,SS3,First Term,60,C4
PERF008,STD001,English Studies,SS3,Second Term,55,C5
PERF009,STD001,English Studies,SS3,Third Term,49,D7
PERF010,STD001,Mathematics,SS1,First Term,80,A1
PERF011,STD001,Mathematics,SS1,Second Term,36,F9
PERF012,STD001,Mathematics,SS1,Third Term,22,F9
PERF013,STD001,Mathematics,SS2,First Term,73,B2
PERF014,STD001,Mathematics,SS2,Second Term,14,F9
PERF015,STD001,Mathematics,SS2,Third Term,28,F9
PERF016,STD001,Mathematics,SS3,First Term,61,C4
PERF017,STD001,Mathematics,SS3,Second Term,20,F9
PERF018,STD001,Mathematics,SS3,Third Term,16,F9
PERF019,STD001,Civic Education,SS1,First Term,12,F9
PERF020,STD001,Civic Education,SS1,Second Term,16,F9
PERF021,STD001,Civic Education,SS1,Third Term,32,F9
PERF022,STD001,Civic Education,SS2,First Term,15,F9
PERF023,STD001,Civic Education,SS2,Second Term,29,F9
PERF024,STD001,Civic Education,SS2,Third Term,27,F9
PERF025,STD001,Civic Education,SS3,First Term,21,F9
PERF026,STD001,Civic Education,SS3,Second Term,33,F9
PERF027,STD001,Civic Education,SS3,Third Term,58,C5
PERF028,STD001,Further Mathematics,SS1,First Term,62,C4
PERF029,STD001,Further Mathematics,SS1,Second Term,77,A1
PERF030,STD001,Further Mathematics,SS1,Third Term,39,F9
PERF031,STD001,Further Mathematics,SS2,First Term,47,D7
PERF032,STD001,Further Mathematics,SS2,Second Term,37,F9
PERF033,STD001,Further Mathematics,SS2,Third Term,16,F9
PERF034,STD001,Further Mathematics,SS3,First Term,63,C4
PERF035,STD001,Further Mathematics,SS3,Second Term,54,C6
PERF036,STD001,Further Mathematics,SS3,Third Term,88,A1
PERF037,STD001,Computer Science,SS1,First Term,33,F9
PERF038,STD001,Computer Science,SS1,Second Term,85,A1
PERF039,STD001,Computer Science,SS1,Third Term,86,A1
PERF040,STD001,Computer Science,SS2,First Term,67,B3
PERF041,STD001,Computer Science,SS2,Second Term,40,E8
PERF042,STD001,Computer Science,SS2,Third Term,17,F9
PERF043,STD001,Computer Science,SS3,First Term,87,A1
PERF044,STD001,Computer Science,SS3,Second Term,35,F9
PERF045,STD001,Computer Science,SS3,Third Term,95,A1
PERF046,STD001,Physics,SS1,First Term,61,C4
PERF047,STD001,Physics,SS1,Second Term,74,B2
PERF048,STD001,Physics,SS1,Third Term,77,A1
PERF049,STD001,Physics,SS2,First Term,12,F9
PERF050,STD001,Physics,SS2,Second Term,87,A1
PERF051,STD001,Physics,SS2,Third Term,48,D7
PERF052,STD001,Physics,SS3,First Term,35,F9
PERF053,STD001,Physics,SS3,Second Term,62,C4
PERF054,STD001,Physics,SS3,Third Term,15,F9
PERF055,STD001,Technical Drawing,SS1,First Term,63,C4
PERF056,STD001,Technical Drawing,SS1,Second Term,62,C4
PERF057,STD001,Technical Drawing,SS1,Third Term,28,F9
PERF058,STD001,Technical Drawing,SS2,First Term,41,E8
PERF059,STD001,Technical Drawing,SS2,Second Term,66,B3
PERF060,STD001,Technical Drawing,SS2,Third Term,92,A1
PERF061,STD001,Technical Drawing,SS3,First Term,22,F9
PERF062,STD001,Technical Drawing,SS3,Second Term,55,C5
PERF063,STD001,Technical Drawing,SS3,Third Term,47,D7
PERF064,STD001,Marketing,SS1,First Term,14,F9
PERF065,STD001,Marketing,SS1,Second Term,38,F9
PERF066,STD001,Marketing,SS1,Third Term,40,E8
PERF067,STD001,Marketing,SS2,First Term,30,F9
PERF068,STD001,Marketing,SS2,Second Term,84,A1
PERF069,STD001,Marketing,SS2,Third Term,64,C4
PERF070,STD001,Marketing,SS3,First Term,53,C6
PERF071,STD001,Marketing,SS3,Second Term,35,F9
PERF072,STD001,Marketing,SS3,Third Term,90,A1
PERF073,STD002,English Studies,SS1,First Term,47,D7
PERF074,STD002,English Studies,SS1,Second Term,20,F9
PERF075,STD002,English Studies,SS1,Third Term,43,E8
PERF076,STD002,English Studies,SS2,First Term,84,A1
PERF077,STD002,English Studies,SS2,Second Term,54,C6
PERF078,STD002,English Studies,SS2,Third Term,92,A1
PERF079,STD002,English Studies,SS3,First Term,42,E8
PERF080,STD002,English Studies,SS3,Second Term,25,F9
PERF081,STD002,English Studies,SS3,Third Term,89,A1
PERF082,STD002,Mathematics,SS1,First Term,95,A1
PERF083,STD002,Mathematics,SS1,Second Term,61,C4
PERF084,STD002,Mathematics,SS1,Third Term,90,A1
PERF085,STD002,Mathematics,SS2,First Term,39,F9
PERF086,STD002,Mathematics,SS2,Second Term,33,F9
PERF087,STD002,Mathematics,SS2,Third Term,68,B3
PERF088,STD002,Mathematics,SS3,First Term,29,F9
PERF089,STD002,Mathematics,SS3,Second Term,40,E8
PERF090,STD002,Mathematics,SS3,Third Term,30,F9
PERF091,STD002,Civic Education,SS1,First Term,52,C6
PERF092,STD002,Civic Education,SS1,Second Term,80,A1
PERF093,STD002,Civic Education,SS1,Third Term,72,B2
PERF094,STD002,Civic Education,SS2,First Term,59,C5
PERF095,STD002,Civic Education,SS2,Second Term,79,A1
PERF096,STD002,Civic Education,SS2,Third Term,55,C5
PERF097,STD002,Civic Education,SS3,First Term,55,C5
PERF098,STD002,Civic Education,SS3,Second Term,82,A1
PERF099,STD002,Civic Education,SS3,Third Term,65,B3
PERF100,STD002,Geography,SS1,First Term,61,C4
PERF101,STD002,Geography,SS1,Second Term,59,C5
PERF102,STD002,Geography,SS1,Third Term,38,F9
PERF103,STD002,Geography,SS2,First Term,76,A1
PERF104,STD002,Geography,SS2,Second Term,44,E8
PERF105,STD002,Geography,SS2,Third Term,67,B3
PERF106,STD002,Geography,SS3,First Term,50,C6
PERF107,STD002,Geography,SS3,Second Term,49,D7
PERF108,STD002,Geography,SS3,Third Term,29,F9
PERF109,STD002,History,SS1,First Term,89,A1
PERF110,STD002,History,SS1,Second Term,49,D7
PERF111,STD002,History,SS1,Third Term,46,D7
PERF112,STD002,History,SS2,First Term,45,D7
PERF113,STD002,History,SS2,Second Term,51,C6
PERF114,STD002,History,SS2,Third Term,19,F9
PERF115,STD002,History,SS3,First Term,23,F9
PERF116,STD002,History,SS3,Second Term,57,C5
PERF117,STD002,History,SS3,Third Term,62,C4
PERF118,STD002,French,SS1,First Term,44,E8
PERF119,STD002,French,SS1,Second Term,61,C4
PERF120,STD002,French,SS1,Third Term,27,F9
PERF121,STD002,French,SS2,First Term,71,B2
PERF122,STD002,French,SS2,Second Term,33,F9
PERF123,STD002,French,SS2,Third Term,82,A1
PERF124,STD002,French,SS3,First Term,66,B3
PERF125,STD002,French,SS3,Second Term,15,F9
PERF126,STD002,French,SS3,Third Term,16,F9
PERF127,STD002,Government,SS1,First Term,57,C5
PERF128,STD002,Government,SS1,Second Term,31,F9
PERF129,STD002,Government,SS1,Third Term,86,A1
PERF130,STD002,Government,SS2,First Term,77,A1
PERF131,STD002,Government,SS2,Second Term,28,F9
PERF132,STD002,Government,SS2,Third Term,89,A1
PERF133,STD002,Government,SS3,First Term,64,C4
PERF134,STD002,Government,SS3,Second Term,50,C6
PERF135,STD002,Government,SS3,Third Term,77,A1
PERF136,STD002,Garment Making,SS1,First Term,27,F9
PERF137,STD002,Garment Making,SS1,Second Term,52,C6
PERF138,STD002,Garment Making,SS1,Third Term,73,B2
PERF139,STD002,Garment Making,SS2,First Term,43,E8
PERF140,STD002,Garment Making,SS2,Second Term,72,B2
PERF141,STD002,Garment Making,SS2,Third Term,37,F9
PERF142,STD002,Garment Making,SS3,First Term,18,F9
PERF143,STD002,Garment Making,SS3,Second Term,64,C4
PERF144,STD002,Garment Making,SS3,Third Term,89,A1
PERF145,STD003,English Studies,SS1,First Term,70,B2
PERF146,STD003,English Studies,SS1,Second Term,32,F9
PERF147,STD003,English Studies,SS1,Third Term,13,F9
PERF148,STD003,English Studies,SS2,First Term,49,D7
PERF149,STD003,English Studies,SS2,Second Term,57,C5
PERF150,STD003,English Studies,SS2,Third Term,39,F9
PERF151,STD003,English Studies,SS3,First Term,16,F9
PERF152,STD003,English Studies,SS3,Second Term,75,A1
PERF153,STD003,English Studies,SS3,Third Term,12,F9
PERF154,STD003,Mathematics,SS1,First Term,84,A1
PERF155,STD003,Mathematics,SS1,Second Term,93,A1
PERF156,STD003,Mathematics,SS1,Third Term,39,F9
PERF157,STD003,Mathematics,SS2,First Term,62,C4
PERF158,STD003,Mathematics,SS2,Second Term,58,C5
PERF159,STD003,Mathematics,SS2,Third Term,83,A1
PERF160,STD003,Mathematics,SS3,First Term,23,F9
PERF161,STD003,Mathematics,SS3,Second Term,75,A1
PERF162,STD003,Mathematics,SS3,Third Term,75,A1
PERF163,STD003,Civic Education,SS1,First Term,46,D7
PERF164,STD003,Civic Education,SS1,Second Term,37,F9
PERF165,STD003,Civic Education,SS1,Third Term,24,F9
PERF166,STD003,Civic Education,SS2,First Term,52,C6
PERF167,STD003,Civic Education,SS2,Second Term,82,A1
PERF168,STD003,Civic Education,SS2,Third Term,41,E8
PERF169,STD003,Civic Education,SS3,First Term,21,F9
PERF170,STD003,Civic Education,SS3,Second Term,16,F9
PERF171,STD003,Civic Education,SS3,Third Term,61,C4
PERF172,STD003,Accounting,SS1,First Term,27,F9
PERF173,STD003,Accounting,SS1,Second Term,70,B2
PERF174,STD003,Accounting,SS1,Third Term,91,A1
PERF175,STD003,Accounting,SS2,First Term,85,A1
PERF176,STD003,Accounting,SS2,Second Term,93,A1
PERF177,STD003,Accounting,SS2,Third Term,43,E8
PERF178,STD003,Accounting,SS3,First Term,28,F9
PERF179,STD003,Accounting,SS3,Second Term,31,F9
PERF180,STD003,Accounting,SS3,Third Term,30,F9
PERF181,STD003,Economics,SS1,First Term,81,A1
PERF182,STD003,Economics,SS1,Second Term,44,E8
PERF183,STD003,Economics,SS1,Third Term,95,A1
PERF184,STD003,Economics,SS2,First Term,31,F9
PERF185,STD003,Economics,SS2,Second Term,87,A1
PERF186,STD003,Economics,SS2,Third Term,74,B2
PERF187,STD003,Economics,SS3,First Term,13,F9
PERF188,STD003,Economics,SS3,Second Term,85,A1
PERF189,STD003,Economics,SS3,Third Term,65,B3
PERF190,STD003,Geography,SS1,First Term,57,C5
PERF191,STD003,Geography,SS1,Second Term,52,C6
PERF192,STD003,Geography,SS1,Third Term,20,F9
PERF193,STD003,Geography,SS2,First Term,15,F9
PERF194,STD003,Geography,SS2,Second Term,58,C5
PERF195,STD003,Geography,SS2,Third Term,46,D7
PERF196,STD003,Geography,SS3,First Term,35,F9
PERF197,STD003,Geography,SS3,Second Term,78,A1
PERF198,STD003,Geography,SS3,Third Term,13,F9
PERF199,STD003,Government,SS1,First Term,59,C5
PERF200,STD003,Government,SS1,Second Term,81,A1
PERF201,STD003,Government,SS1,Third Term,82,A1
PERF202,STD003,Government,SS2,First Term,82,A1
PERF203,STD003,Government,SS2,Second Term,16,F9
PERF204,STD003,Government,SS2,Third Term,47,D7
PERF205,STD003,Government,SS3,First Term,82,A1
PERF206,STD003,Government,SS3,Second Term,26,F9
PERF207,STD003,Government,SS3,Third Term,15,F9
PERF208,STD003,Garment Making,SS1,First Term,89,A1
PERF209,STD003,Garment Making,SS1,Second Term,75,A1
PERF210,STD003,Garment Making,SS1,Third Term,68,B3
PERF211,STD003,Garment Making,SS2,First Term,45,D7
PERF212,STD003,Garment Making,SS2,Second Term,17,F9
PERF213,STD003,Garment Making,SS2,Third Term,40,E8
PERF214,STD003,Garment Making,SS3,First Term,35,F9
PERF215,STD003,Garment Making,SS3,Second Term,38,F9
PERF216,STD003,Garment Making,SS3,Third Term,74,B2
PERF217,STD004,English Studies,SS1,First Term,47,D7
PERF218,STD004,English Studies,SS1,Second Term,82,A1
PERF219,STD004,English Studies,SS1,Third Term,85,A1
PERF220,STD004,English Studies,SS2,First Term,14,F9
